km/l;IAT;RPM;MAP;km/h;Carga do Motor;Acelerador(%);class
16,39344262;59;2320;52;49;10;21,96;driver5
16,39344262;59;2320;52;49;10;21,96;driver5
16,39344262;59;2320;52;49;10;21,96;driver5
38,46153846;59;2320;22;49;10;21,96;driver5
35,71428571;59;2320;22;45;10;21,96;driver5
76,92307692;59;1105;22;45;36;21,96;driver5
76,92307692;59;1105;22;45;36;21,96;driver5
76,92307692;59;1105;22;45;36;21,96;driver5
76,92307692;59;1105;22;45;36;21,96;driver5
76,92307692;59;1105;22;45;36;21,96;driver5
76,92307692;59;1105;22;45;36;21,96;driver5
76,92307692;59;1105;22;45;36;21,96;driver5
76,92307692;59;1105;22;45;36;21,96;driver5
76,92307692;59;1105;22;45;36;15,29;driver5
76,92307692;59;1105;22;45;36;15,29;driver5
27,77777778;59;1105;59;45;36;15,29;driver5
9,345794393;59;1105;59;15;36;15,29;driver5
11,49425287;59;897;59;15;40;15,29;driver5
11,49425287;59;897;59;15;40;15,29;driver5
11,49425287;59;897;59;15;40;15,29;driver5
11,49425287;59;897;59;15;40;15,29;driver5
11,49425287;59;897;59;15;40;15,29;driver5
11,49425287;59;897;59;15;40;15,29;driver5
11,49425287;59;897;59;15;40;15,29;driver5
11,49425287;59;897;59;15;40;15,29;driver5
11,49425287;59;897;59;15;40;38,04;driver5
11,49425287;59;897;59;15;40;38,04;driver5
6,944444444;59;897;98;15;40;38,04;driver5
6,944444444;59;897;98;15;40;38,04;driver5
8,771929825;59;897;98;19;99;38,04;driver5
3,831417625;59;2054;98;19;99;38,04;driver5
3,831417625;59;2054;98;19;99;38,04;driver5
3,831417625;59;2054;98;19;99;38,04;driver5
3,831417625;59;2054;98;19;99;38,04;driver5
3,831417625;59;2054;98;19;99;38,04;driver5
3,831417625;59;2054;98;19;99;38,04;driver5
3,831417625;59;2054;98;19;99;38,04;driver5
3,831417625;59;2054;98;19;99;40,39;driver5
3,831417625;59;2054;98;19;99;40,39;driver5
3,831417625;59;2054;98;19;99;40,39;driver5
3,831417625;59;2054;98;19;99;40,39;driver5
5,649717514;59;2054;98;28;99;40,39;driver5
6,211180124;59;1873;98;28;99;40,39;driver5
6,211180124;59;1873;98;28;99;40,39;driver5
6,211180124;59;1873;98;28;99;40,39;driver5
6,211180124;59;1873;98;28;99;40,39;driver5
