km/l;IAT;RPM;MAP;km/h;Load;Acelerador(%);TARGET
22,22222222;54;878;53;26;38;45,88;driver2
22,22222222;54;878;53;26;38;45,88;driver2
22,22222222;54;878;53;26;38;45,88;driver2
12,04819277;54;878;98;26;38;45,88;driver2
14,49275362;54;878;98;31;38;45,88;driver2
5,952380952;54;2127;98;31;100;45,88;driver2
5,952380952;54;2127;98;31;100;45,88;driver2
5,952380952;54;2127;98;31;100;45,88;driver2
5,952380952;54;2127;98;31;100;45,88;driver2
5,952380952;54;2127;98;31;100;45,88;driver2
5,952380952;54;2127;98;31;100;45,88;driver2
5,952380952;54;2127;98;31;100;45,88;driver2
5,952380952;54;2127;98;31;100;45,88;driver2
5,952380952;54;2127;98;31;100;50,98;driver2
5,952380952;54;2127;98;31;100;50,98;driver2
6,097560976;54;2127;96;31;100;50,98;driver2
8,26446281;54;2127;96;42;100;50,98;driver2
8,695652174;54;2023;96;42;100;50,98;driver2
8,695652174;54;2023;96;42;100;50,98;driver2
8,695652174;54;2023;96;42;100;50,98;driver2
8,695652174;54;2023;96;42;100;50,98;driver2
8,695652174;54;2023;96;42;100;50,98;driver2
8,695652174;54;2023;96;42;100;50,98;driver2
8,695652174;54;2023;96;42;100;50,98;driver2
8,695652174;54;2023;96;42;100;50,98;driver2
8,695652174;54;2023;96;42;100;47,06;driver2
8,695652174;54;2023;96;42;100;47,06;driver2
8,474576271;54;2023;98;42;100;47,06;driver2
10,1010101;54;2023;98;50;100;47,06;driver2
8,403361345;54;2422;98;50;100;47,06;driver2
8,403361345;54;2422;98;50;100;47,06;driver2
8,403361345;54;2422;98;50;100;47,06;driver2
8,403361345;54;2422;98;50;100;47,06;driver2
8,403361345;54;2422;98;50;100;47,06;driver2
8,403361345;54;2422;98;50;100;47,06;driver2
8,403361345;54;2422;98;50;100;47,06;driver2
8,403361345;54;2422;98;50;100;47,06;driver2
8,403361345;54;2422;98;50;100;25,49;driver2
8,403361345;54;2422;98;50;100;25,49;driver2
8,474576271;55;2422;98;50;100;25,49;driver2
11,9047619;55;2422;70;50;100;25,49;driver2
12,98701299;55;2422;70;55;100;25,49;driver2
11,9047619;55;2661;70;55;60;25,49;driver2
11,9047619;55;2661;70;55;60;25,49;driver2
11,9047619;55;2661;70;55;60;25,49;driver2
11,9047619;55;2661;70;55;60;25,49;driver2
11,9047619;55;2661;70;55;60;25,49;driver2
11,9047619;55;2661;70;55;60;25,49;driver2
11,9047619;55;2661;70;55;60;25,49;driver2
11,9047619;55;2661;70;55;60;25,49;driver2
11,9047619;55;2661;70;55;60;13,33;driver2
11,9047619;55;2661;70;55;60;13,33;driver2
11,9047619;55;2661;70;55;60;13,33;driver2
43,47826087;55;2661;19;55;60;13,33;driver2
41,66666667;55;2661;19;52;60;13,33;driver2
45,45454545;55;2443;19;52;0;13,33;driver2
45,45454545;55;2443;19;52;0;13,33;driver2
45,45454545;55;2443;19;52;0;13,33;driver2
45,45454545;55;2443;19;52;0;13,33;driver2
45,45454545;55;2443;19;52;0;13,33;driver2
45,45454545;55;2443;19;52;0;13,33;driver2
45,45454545;55;2443;19;52;0;13,33;driver2
45,45454545;55;2443;19;52;0;13,33;driver2
45,45454545;55;2443;19;52;0;26,27;driver2
45,45454545;55;2443;19;52;0;26,27;driver2
12,19512195;55;2443;70;52;0;26,27;driver2
12,19512195;55;2443;70;52;0;26,27;driver2
12,04819277;55;2484;70;52;62;26,27;driver2
12,04819277;55;2484;70;52;62;26,27;driver2
12,04819277;55;2484;70;52;62;26,27;driver2
12,04819277;55;2484;70;52;62;26,27;driver2
12,04819277;55;2484;70;52;62;26,27;driver2
12,04819277;55;2484;70;52;62;26,27;driver2
12,04819277;55;2484;70;52;62;26,27;driver2
12,04819277;55;2484;70;52;62;26,27;driver2
12,04819277;55;2484;70;52;62;24,31;driver2
12,04819277;55;2484;70;52;62;24,31;driver2
15,625;55;2484;54;52;62;24,31;driver2
16,12903226;55;2484;54;54;62;24,31;driver2
15,625;55;2554;54;54;36;24,31;driver2
15,625;55;2554;54;54;36;24,31;driver2
15,625;55;2554;54;54;36;24,31;driver2
15,625;55;2554;54;54;36;24,31;driver2
15,625;55;2554;54;54;36;24,31;driver2
15,625;55;2554;54;54;36;24,31;driver2
15,625;55;2554;54;54;36;24,31;driver2
15,625;55;2554;54;54;36;24,31;driver2
15,625;55;2554;54;54;36;23,53;driver2
15,625;55;2554;54;54;36;23,53;driver2
16,12903226;55;2554;53;54;36;23,53;driver2
16,39344262;55;2554;53;55;36;23,53;driver2
16,39344262;55;2554;53;55;46;23,53;driver2
15,87301587;55;2647;53;55;46;23,53;driver2
15,87301587;55;2647;53;55;46;23,53;driver2
15,87301587;55;2647;53;55;46;23,53;driver2
15,87301587;55;2647;53;55;46;23,53;driver2
15,87301587;55;2647;53;55;46;23,53;driver2
15,87301587;55;2647;53;55;46;23,53;driver2
15,87301587;55;2647;53;55;46;23,53;driver2
15,87301587;55;2647;53;55;46;37,65;driver2
15,87301587;55;2647;53;55;46;37,65;driver2
15,87301587;55;2647;53;55;46;37,65;driver2
8,547008547;55;2647;98;55;46;37,65;driver2
8,849557522;55;2647;98;57;100;37,65;driver2
10,98901099;55;2119;98;57;100;37,65;driver2
10,98901099;55;2119;98;57;100;37,65;driver2
