km/l;IAT(°C);RPM;MAP(kPa);km/h;Engine Load(%);Throttle position(%);Class
10,41666667;51;1379;99;36;92;42,75;Load
10,41666667;51;1379;99;36;92;42,75;Load
10,41666667;51;1379;99;36;92;85,88;Load
10,41666667;51;1379;99;36;92;85,88;Load
10,41666667;51;1379;99;36;92;85,88;Load
11,9047619;51;1379;99;41;92;85,88;Load
10,52631579;51;1569;99;41;92;85,88;Load
10,52631579;51;1569;99;41;92;85,88;Load
10,52631579;51;1569;99;41;92;85,88;Load
10,52631579;51;1569;99;41;92;85,88;Load
10,52631579;51;1569;99;41;92;85,88;Load
10,52631579;51;1569;99;41;92;85,88;Load
10,52631579;51;1569;99;41;92;85,88;Load
10,52631579;51;1569;99;41;92;18,43;Load
10,52631579;51;1569;99;41;92;18,43;Load
35,71428571;51;1642;30;44;16;14,12;Load
30,3030303;51;1642;35;44;16;14,12;Load
20,83333333;51;1642;35;30;16;14,12;Load
31,25;51;1075;35;30;25;14,51;Load
11,49425287;51;1075;96;30;25;14,51;Load
5,535947712;51;1075;96;17;25;14,51;Load
5,535947712;51;1153;96;17;88;14,51;Load
5,535947712;51;1153;96;17;88;14,51;Load
5,535947712;51;1153;96;17;88;14,51;Load
5,535947712;51;1153;96;17;88;14,51;Load
5,535947712;51;1153;96;17;88;14,51;Load
5,535947712;51;1153;96;17;88;14,51;Load
5,535947712;51;1153;96;17;88;14,51;Load
5,535947712;51;1153;96;17;88;49,41;Load
5,535947712;51;1153;96;17;88;49,41;Load
5,988023952;51;1153;98;17;88;49,41;Load
4,780346821;51;1153;98;25;88;49,41;Load
4,780346821;51;1730;98;25;89;49,41;Load
4,780346821;51;1730;98;25;89;49,41;Load
4,780346821;51;1730;98;25;89;49,41;Load
4,780346821;51;1730;98;25;89;49,41;Load
4,780346821;51;1730;98;25;89;49,41;Load
4,780346821;51;1730;98;25;89;49,41;Load
4,780346821;51;1730;98;25;89;49,41;Load
4,780346821;51;1730;98;25;89;44,31;Load
4,780346821;51;1730;98;25;89;44,31;Load
4,780346821;51;1730;99;25;89;44,31;Load
7,194244604;51;1730;99;31;89;44,31;Load
8,547008547;51;1455;99;31;91;44,31;Load
8,547008547;51;1455;99;31;91;44,31;Load
8,547008547;51;1455;99;31;91;44,31;Load
8,547008547;51;1455;99;31;91;44,31;Load
8,547008547;51;1455;99;31;91;44,31;Load
8,547008547;51;1455;99;31;91;44,31;Load
8,547008547;51;1455;99;31;91;44,31;Load
8,547008547;51;1455;99;31;91;36,86;Load
8,547008547;51;1455;99;31;91;36,86;Load
28,57142857;51;1455;30;31;91;36,86;Load
28,57142857;51;1455;30;31;91;36,86;Load
35,71428571;51;1292;30;35;92;56,08;Load
35,71428571;51;1292;30;35;92;56,08;Load
10,98901099;51;1292;98;35;92;56,08;Load
13,15789474;51;1292;98;42;88;56,08;Load
10,75268817;51;1574;98;42;88;56,08;Load
10,75268817;51;1574;98;42;88;56,08;Load
10,75268817;51;1574;98;42;88;56,08;Load
10,75268817;51;1574;98;42;88;56,08;Load
10,75268817;51;1574;98;42;88;56,08;Load
10,75268817;51;1574;98;42;88;56,08;Load
10,75268817;51;1574;98;42;88;56,08;Load
10,75268817;51;1574;98;42;88;85,88;Load
10,75268817;49;1574;98;42;88;85,88;Load
10,63829787;49;1574;99;42;88;85,88;Load
11,36363636;49;1574;99;45;88;85,88;Load
10,41666667;49;1721;99;45;90;85,88;Load
10,41666667;49;1721;99;45;90;85,88;Load
10,41666667;49;1721;99;45;90;85,88;Load
10,41666667;49;1721;99;45;90;85,88;Load
10,41666667;49;1721;99;45;90;85,88;Load
10,41666667;49;1721;99;45;90;85,88;Load
10,41666667;49;1721;99;45;90;85,88;Load
10,41666667;49;1721;99;45;90;19,61;Load
10,41666667;49;1721;99;45;90;19,61;Load
15,38461538;49;1721;67;45;90;19,61;Load
16,12903226;49;1721;67;47;90;19,61;Load
16,12903226;49;1721;67;47;37;19,61;Load
15,87301587;49;1747;67;47;37;19,61;Load
15,87301587;49;1747;67;47;37;19,61;Load
15,87301587;49;1747;67;47;37;19,61;Load
15,87301587;49;1747;67;47;37;19,61;Load
15,87301587;49;1747;67;47;37;19,61;Load
15,87301587;49;1747;67;47;37;19,61;Load
15,87301587;49;1747;67;47;37;14,12;Load
15,87301587;49;1747;67;47;37;14,12;Load
35,71428571;49;1747;30;47;37;14,12;Load
